COD_DPTO,NOMBRE DPTO,COD_MPIO,NOMBRE MPIO,SEXOS,ANO,Población
5,Antioquia,05134,Campamento,AMBOS SEXOS,2018,"9,203"
5,Antioquia,05134,Campamento,HOMBRES,2018,"4,743"
5,Antioquia,05134,Campamento,MUJERES,2018,"4,460"
5,Antioquia,05138,Cañasgordas,AMBOS SEXOS,2018,"15,523"
5,Antioquia,05138,Cañasgordas,HOMBRES,2018,"7,819"
5,Antioquia,05138,Cañasgordas,MUJERES,2018,"7,704"
5,Antioquia,05142,Caracolí,AMBOS SEXOS,2018,"4,582"
5,Antioquia,05142,Caracolí,HOMBRES,2018,"2,316"
5,Antioquia,05142,Caracolí,MUJERES,2018,"2,266"
5,Antioquia,05145,Caramanta,AMBOS SEXOS,2018,"4,743"
5,Antioquia,05145,Caramanta,HOMBRES,2018,"2,367"
5,Antioquia,05145,Caramanta,MUJERES,2018,"2,376"
5,Antioquia,05147,Carepa,AMBOS SEXOS,2018,"47,932"
5,Antioquia,05147,Carepa,HOMBRES,2018,"23,898"
5,Antioquia,05147,Carepa,MUJERES,2018,"24,034"
5,Antioquia,05148,El Carmen de Viboral,AMBOS SEXOS,2018,"59,416"
5,Antioquia,05148,El Carmen de Viboral,HOMBRES,2018,"29,346"
5,Antioquia,05148,El Carmen de Viboral,MUJERES,2018,"30,070"
5,Antioquia,05150,Carolina,AMBOS SEXOS,2018,"3,954"
5,Antioquia,05150,Carolina,HOMBRES,2018,"1,954"
5,Antioquia,05150,Carolina,MUJERES,2018,"2,000"
5,Antioquia,05154,Caucasia,AMBOS SEXOS,2018,"90,213"
5,Antioquia,05154,Caucasia,HOMBRES,2018,"43,727"
5,Antioquia,05154,Caucasia,MUJERES,2018,"46,486"
5,Antioquia,05172,Chigorodó,AMBOS SEXOS,2018,"57,375"
5,Antioquia,05172,Chigorodó,HOMBRES,2018,"27,775"
5,Antioquia,05172,Chigorodó,MUJERES,2018,"29,600"
5,Antioquia,05190,Cisneros,AMBOS SEXOS,2018,"9,775"
5,Antioquia,05190,Cisneros,HOMBRES,2018,"4,673"
5,Antioquia,05190,Cisneros,MUJERES,2018,"5,102"
5,Antioquia,05197,Cocorná,AMBOS SEXOS,2018,"15,444"
5,Antioquia,05197,Cocorná,HOMBRES,2018,"7,586"
5,Antioquia,05197,Cocorná,MUJERES,2018,"7,858"
5,Antioquia,05206,Concepción,AMBOS SEXOS,2018,"4,797"
5,Antioquia,05206,Concepción,HOMBRES,2018,"2,468"
5,Antioquia,05206,Concepción,MUJERES,2018,"2,329"
5,Antioquia,05209,Concordia,AMBOS SEXOS,2018,"21,377"
5,Antioquia,05209,Concordia,HOMBRES,2018,"10,686"
5,Antioquia,05209,Concordia,MUJERES,2018,"10,691"
5,Antioquia,05212,Copacabana,AMBOS SEXOS,2018,"77,884"
5,Antioquia,05212,Copacabana,HOMBRES,2018,"37,710"
5,Antioquia,05212,Copacabana,MUJERES,2018,"40,174"
5,Antioquia,05234,Dabeiba,AMBOS SEXOS,2018,"23,044"
5,Antioquia,05234,Dabeiba,HOMBRES,2018,"11,644"
5,Antioquia,05234,Dabeiba,MUJERES,2018,"11,400"
5,Antioquia,05237,Don Matías,AMBOS SEXOS,2018,"18,902"
5,Antioquia,05237,Don Matías,HOMBRES,2018,"8,837"
5,Antioquia,05237,Don Matías,MUJERES,2018,"10,065"
5,Antioquia,05240,Ebéjico,AMBOS SEXOS,2018,"12,158"
5,Antioquia,05240,Ebéjico,HOMBRES,2018,"6,170"
5,Antioquia,05240,Ebéjico,MUJERES,2018,"5,988"
5,Antioquia,05250,El Bagre,AMBOS SEXOS,2018,"51,862"
5,Antioquia,05250,El Bagre,HOMBRES,2018,"25,833"
5,Antioquia,05250,El Bagre,MUJERES,2018,"26,029"
5,Antioquia,05264,Entrerrios,AMBOS SEXOS,2018,"11,159"
5,Antioquia,05264,Entrerrios,HOMBRES,2018,"5,587"
5,Antioquia,05264,Entrerrios,MUJERES,2018,"5,572"
5,Antioquia,05266,Envigado,AMBOS SEXOS,2018,"228,848"
5,Antioquia,05266,Envigado,HOMBRES,2018,"105,528"
5,Antioquia,05266,Envigado,MUJERES,2018,"123,320"
5,Antioquia,05282,Fredonia,AMBOS SEXOS,2018,"24,408"
5,Antioquia,05282,Fredonia,HOMBRES,2018,"12,250"
5,Antioquia,05282,Fredonia,MUJERES,2018,"12,158"
5,Antioquia,05284,Frontino,AMBOS SEXOS,2018,"20,739"
5,Antioquia,05284,Frontino,HOMBRES,2018,"10,389"
5,Antioquia,05284,Frontino,MUJERES,2018,"10,350"
5,Antioquia,05306,Giraldo,AMBOS SEXOS,2018,"5,544"
5,Antioquia,05306,Giraldo,HOMBRES,2018,"2,829"
5,Antioquia,05306,Giraldo,MUJERES,2018,"2,715"
5,Antioquia,05308,Girardota,AMBOS SEXOS,2018,"51,662"
5,Antioquia,05308,Girardota,HOMBRES,2018,"25,275"
5,Antioquia,05308,Girardota,MUJERES,2018,"26,387"
5,Antioquia,05310,Gómez Plata,AMBOS SEXOS,2018,"9,753"
5,Antioquia,05310,Gómez Plata,HOMBRES,2018,"4,890"
5,Antioquia,05310,Gómez Plata,MUJERES,2018,"4,863"
5,Antioquia,05313,Granada,AMBOS SEXOS,2018,"10,117"
5,Antioquia,05313,Granada,HOMBRES,2018,"5,024"
5,Antioquia,05313,Granada,MUJERES,2018,"5,093"
5,Antioquia,05315,Guadalupe,AMBOS SEXOS,2018,"6,560"
5,Antioquia,05315,Guadalupe,HOMBRES,2018,"3,334"
5,Antioquia,05315,Guadalupe,MUJERES,2018,"3,226"
5,Antioquia,05318,Guarne,AMBOS SEXOS,2018,"55,121"
5,Antioquia,05318,Guarne,HOMBRES,2018,"27,308"
5,Antioquia,05318,Guarne,MUJERES,2018,"27,813"
5,Antioquia,05321,Guatapé,AMBOS SEXOS,2018,"8,363"
5,Antioquia,05321,Guatapé,HOMBRES,2018,"4,097"
5,Antioquia,05321,Guatapé,MUJERES,2018,"4,266"
5,Antioquia,05347,Heliconia,AMBOS SEXOS,2018,"5,451"
5,Antioquia,05347,Heliconia,HOMBRES,2018,"2,840"
5,Antioquia,05347,Heliconia,MUJERES,2018,"2,611"
5,Antioquia,05353,Hispania,AMBOS SEXOS,2018,"5,469"
5,Antioquia,05353,Hispania,HOMBRES,2018,"2,731"
5,Antioquia,05353,Hispania,MUJERES,2018,"2,738"
5,Antioquia,05360,Itagui,AMBOS SEXOS,2018,"276,744"
5,Antioquia,05360,Itagui,HOMBRES,2018,"131,808"
5,Antioquia,05360,Itagui,MUJERES,2018,"144,936"
5,Antioquia,05361,Ituango,AMBOS SEXOS,2018,"27,074"
5,Antioquia,05361,Ituango,HOMBRES,2018,"16,493"
5,Antioquia,05361,Ituango,MUJERES,2018,"10,581"
5,Antioquia,05364,Jardín,AMBOS SEXOS,2018,"14,518"
5,Antioquia,05364,Jardín,HOMBRES,2018,"7,231"
5,Antioquia,05364,Jardín,MUJERES,2018,"7,287"
